text,Label,Language
ang bujikha that is your mistake,code-mix,English-Kokborok
tamo ni application o ba mention khai,code-mix,English-Kokborok
application o mention khai mani chaliya,code-mix,English-Kokborok
think khaina nang o before you write something,code-mix,English-Kokborok
silly mistake no problem creat khai nai,code-mix,English-Kokborok
next time o kisa care khai sidi,code-mix,English-Kokborok
everything bo explain khaina nang ya all the time,code-mix,English-Kokborok
sometime chung kisa said khe tong na nang o,code-mix,English-Kokborok
every matters o involve ta ongdi,code-mix,English-Kokborok
fund say koroi nono behai khe renai,code-mix,English-Kokborok
mistake bai no chung learn khai nai,code-mix,English-Kokborok
mistake ongya khe chung learn bo khai ya,code-mix,English-Kokborok
joto ja ongmani everything will be fine,code-mix,English-Kokborok
everyday kaham expect khai mangya,code-mix,English-Kokborok
someday or others chung problem face khaina nang o,code-mix,English-Kokborok
jotono no update khai o that we need to take the dicession as early as possible.,code-mix,English-Kokborok
jotono remember khai tong di,code-mix,English-Kokborok
someday ang nono revange na nai,code-mix,English-Kokborok
tamo ani mistake what have i done,code-mix,English-Kokborok
kabo sadi tamo mistake khai kha ang,code-mix,English-Kokborok
i need the explaination tamo mistake khai kha ang,code-mix,English-Kokborok
i will charge everyone norok ang no explain khaiya khe,code-mix,English-Kokborok
ang no kisa massage khai ga di,code-mix,English-Kokborok
please kisa massage day khaiwi mang no ang no,code-mix,English-Kokborok
next time ang nono massage khai nai,code-mix,English-Kokborok
nini massage belai khe no tongtok o,code-mix,English-Kokborok
bo belai khe no massage khai na kurung,code-mix,English-Kokborok
bo massage ni training khai jak say,code-mix,English-Kokborok
o boro ni training khaiwi phai ka,code-mix,English-Kokborok
all body massage khai khe two hundred rupees only,code-mix,English-Kokborok
every evening o bo massage khai o,code-mix,English-Kokborok
full massage khai redi do,code-mix,English-Kokborok
appointment advance lana nag o,code-mix,English-Kokborok
booking khaiya khe maruk ya,code-mix,English-Kokborok
advance booking khaiwi tong di,code-mix,English-Kokborok
belai demand ong kha tabuk bo very hard to get him on weeken,code-mix,English-Kokborok
massage khaima ni busuk charge khai bo,code-mix,English-Kokborok
bini oro massage khai nai kabang ma tong o,code-mix,English-Kokborok
boro group o say massage khai o,code-mix,English-Kokborok
bini location boro can any one tell me,code-mix,English-Kokborok
bini location correct y able,code-mix,English-Kokborok
wrong location say sawi tong o,code-mix,English-Kokborok
right location sobo sawi mang,code-mix,English-Kokborok
location track khaiwi nai di,code-mix,English-Kokborok
track kahiwi say mangliya,code-mix,English-Kokborok
nini location exect boro sadi we are coming,code-mix,English-Kokborok
please nini location boro kisa update khai di,code-mix,English-Kokborok
ani location bai nini location different tong  o,code-mix,English-Kokborok
place location belai khe no nang o,code-mix,English-Kokborok
right place right location o sa kha bo,code-mix,English-Kokborok
bini courage no ang appreciate kahi o,code-mix,English-Kokborok
belai no courage ong kha bo,code-mix,English-Kokborok
kabo no say keriliya bo see her courage,code-mix,English-Kokborok
heads off  bini courage ni bagwi,code-mix,English-Kokborok
bini life no bo sacrifice khai kha bo,code-mix,English-Kokborok
asuk courage bo he went alone and fought the battle,code-mix,English-Kokborok
bo deserve khai o award manani,code-mix,English-Kokborok
bo hai kebo courage kroi he is really hero,code-mix,English-Kokborok
bono say sa o really hero who never care of himself,code-mix,English-Kokborok
he is ready to die for the country bini courage no nai di,code-mix,English-Kokborok
beni friend bo spott o no thoi kha,code-mix,English-Kokborok
kabo ni omo hai courage kroi,code-mix,English-Kokborok
boba ani friend say ble my childhood friend,code-mix,English-Kokborok
ani aunty belai no kaham,code-mix,English-Kokborok
ani brother bo belai no kaham,code-mix,English-Kokborok
ani sister bo belai no kaham,code-mix,English-Kokborok
ani friend rok bo belai no kaham,code-mix,English-Kokborok
ani school mate rok bo belai no kaham,code-mix,English-Kokborok
ani college ni mate rok bo belai no kaham,code-mix,English-Kokborok
ani college ni friend rok bo belai khe no help khai kha ang no,code-mix,English-Kokborok
ani exam o bo ani friend rok belai khe no help khai kha,code-mix,English-Kokborok
ani friend rok jotono kaham,code-mix,English-Kokborok
ang borok no blindly trust khai mano,code-mix,English-Kokborok
boro bo ang no trust khai o,code-mix,English-Kokborok
ang betrate khai ya borok no,code-mix,English-Kokborok
they are very kind to me ang sawi mang no,code-mix,English-Kokborok
there honesty and support ang pokgui mang glak,code-mix,English-Kokborok
borok ni hospility belai khe no kaham very good and standerd,code-mix,English-Kokborok
boroke standerd follow khai o,code-mix,English-Kokborok
chini takhu chandan pass away last night,code-mix,English-Kokborok
chini society say first priority chung sena nang o,code-mix,English-Kokborok
what is the matter kebo sawi day mang,code-mix,English-Kokborok
nini suggestion nangwi tong kha tabuk in this right moment,code-mix,English-Kokborok
tamo suggest khai nai kono idea kroi,code-mix,English-Kokborok
you are best in solving problems kisa help khai di,code-mix,English-Kokborok
omo problems no nung no solve khai sidi,code-mix,English-Kokborok
best instruction re kha very nice,code-mix,English-Kokborok
best instruction rena nai di do,code-mix,English-Kokborok
best instruction bahai khe renai no any idea,code-mix,English-Kokborok
best instruction renani naidi,code-mix,English-Kokborok
try your best give up ta khai di,code-mix,English-Kokborok
nung give up khai mani chaliya,code-mix,English-Kokborok
tai waisa try khai khe tamo ong nai try it again,code-mix,English-Kokborok
year lost ta khai di you must try again,code-mix,English-Kokborok
one year kono problem kroi still time is there,code-mix,English-Kokborok
chung say tabuk phono pora tong kho you have still lot of time,code-mix,English-Kokborok
ta thang di that is a bad place,code-mix,English-Kokborok
ta khai di abo you may spoilt it,code-mix,English-Kokborok
ta tang di abo you will get hurt,code-mix,English-Kokborok
nini maiya no ang bugikha thank you so much,code-mix,English-Kokborok
rang nang khe informed khai di ata,code-mix,English-Kokborok
nungno talent riyagmo se nung samung ou phranya khe no used,code-mix,English-Kokborok
depacherra youth wake up chung jotono phal khe samung tanglai na,code-mix,English-Kokborok
chung jubilee wo chini talent no bagraha no japhalaina,code-mix,English-Kokborok
chini student rau academic success ongmai ya no rta laina,code-mix,English-Kokborok
depachara area ni church secretary rau hioye nrau ni church ni blood donors list angno immediately rimaikhe hamnai.,code-mix,English-Kokborok
blood donors rau ni list taupho souphai yakho.,code-mix,English-Kokborok
chini last meeting wo blood donation camp date khayaumo khe.,code-mix,English-Kokborok
plantation le nathoh naroh khaiye paiha.,code-mix,English-Kokborok
this time le chung bo participate makhai nai,code-mix,English-Kokborok
start khai sedi time le naisingwi tong ya,code-mix,English-Kokborok
nini marriage ni planning le bahai ongwi tong kha,code-mix,English-Kokborok
suddenly se ongwi thang kha for some reason.,code-mix,English-Kokborok
suddenly decide ongwi thang kha,code-mix,English-Kokborok
suddenly thoi woi thang kha of a sudden,code-mix,English-Kokborok
suddently plan nawoi mang liya,code-mix,English-Kokborok
suddenly decide khai woi chaliya,code-mix,English-Kokborok
tabuk tamo khai nai decide se khai pai kha,code-mix,English-Kokborok
tabuk tamo khai nai suddenly se decide khai pai kha,code-mix,English-Kokborok
joto jaga wo no suddenly decide khai mani chaya,code-mix,English-Kokborok
time gotha na nang wo,code-mix,English-Kokborok
suddenly bai solution ong ya,code-mix,English-Kokborok
tamo khai nai tamo khai ya need to discuss the matter,code-mix,English-Kokborok
tamo khai khe chano tamo khai khe chaya need to decide,code-mix,English-Kokborok
omo chaya hingwi final decision lama ni chaya kho,code-mix,English-Kokborok
joto side digano think khai na nang wo,code-mix,English-Kokborok
processing belai khe no late,code-mix,English-Kokborok
processing mang ong woi tong wo,code-mix,English-Kokborok
tini pai glak bo tabuk phono processing kho,code-mix,English-Kokborok
joto bank no close tini,code-mix,English-Kokborok
nini bank account toibi di,code-mix,English-Kokborok
nini bank accounts details nang wo,code-mix,English-Kokborok
chini aro bank boi se koroi,code-mix,English-Kokborok
chini appointment tong wo tini,code-mix,English-Kokborok
promise ta khai di,code-mix,English-Kokborok
promise khai ma ni chaya,code-mix,English-Kokborok
bible wo sawoi hai no promise ta khai di hingwi,code-mix,English-Kokborok
promise khai khe makhai nai do,code-mix,English-Kokborok
promise le khai kha but kono se khai ya tabuk phono,code-mix,English-Kokborok
promise haino ta khai di,code-mix,English-Kokborok
chari nai hingwi promise khai mani tamo sa,code-mix,English-Kokborok
nini promise boro thang kha sa,code-mix,English-Kokborok
nini promise no ang trust khai liya tai,code-mix,English-Kokborok
promise le kahi wo samung le kroi,code-mix,English-Kokborok
nini promise nung bai no tongse di,code-mix,English-Kokborok
nini promise no nai singwoi ang lost ong kha,code-mix,English-Kokborok
promise khai mang tong wo tini renai khna renai,code-mix,English-Kokborok
please promise khai di that you are coming,code-mix,English-Kokborok
promise me nung dala saya hingwi,code-mix,English-Kokborok
promise ni value nung sawoi day mang,code-mix,English-Kokborok
you will die with your promise nai de,code-mix,English-Kokborok
chini promise khai mani moito mang na ble,code-mix,English-Kokborok
chung promise khai mani nung moito tong na ble,code-mix,English-Kokborok
promise khai ma ni tamo outcome ong kha,code-mix,English-Kokborok
useless promise khai ma ni nung bai,code-mix,English-Kokborok
nung bai tai promise khai liya ang,code-mix,English-Kokborok
nono promise khai woi ang ba thoi kha ble.,code-mix,English-Kokborok
sure de nung next month wo renai,code-mix,English-Kokborok
promise khai di next month wo nung renai hingwoi,code-mix,English-Kokborok
chini jotono bagui good news tong wo,code-mix,English-Kokborok
good news no nai singwoi thong mani,code-mix,English-Kokborok
chung promise khai wo that by next year we will finished it,code-mix,English-Kokborok
we will keep our promise ja jotono chung nainai,code-mix,English-Kokborok
what is right what is wrong nung sana nangya,code-mix,English-Kokborok
nung sobo to tell me not to do,code-mix,English-Kokborok
mind your own language thang di,code-mix,English-Kokborok
i cannot see your tong mung,code-mix,English-Kokborok
nini tong mung day by day change ongoi tong wo,code-mix,English-Kokborok
tini ni outcome tamo ong kha please someone tell me,code-mix,English-Kokborok
nini quotation tini ni besing wo redi,code-mix,English-Kokborok
nini requirement tamo tamo tong,code-mix,English-Kokborok
quotation no snamewi tini ni besing wo rohor di,code-mix,English-Kokborok
nini quotation nang woi tong kha,code-mix,English-Kokborok
nini quotation belai khe no high ong kha,code-mix,English-Kokborok
kisa less khai mang glake day,code-mix,English-Kokborok
chini requirement tabuk phono full fill ongya kho,code-mix,English-Kokborok
what is your thought tamo khailai nai,code-mix,English-Kokborok
nini quotation de senumb kha,code-mix,English-Kokborok
kisa tini ani lab class nawoi de mang no,code-mix,English-Kokborok
next time nini class ang na nai,code-mix,English-Kokborok
class exchange khai lai nai next week,code-mix,English-Kokborok
this week nung nadi next week ang na nai,code-mix,English-Kokborok
same ong kha tabuk,code-mix,English-Kokborok
equal no tong wo no need to check it again,code-mix,English-Kokborok
both are equal ang sawoi mang no,code-mix,English-Kokborok
equal measurement khai di do no want should get less,code-mix,English-Kokborok
jotono no equal kha bakdi do,code-mix,English-Kokborok
equal hing mani tamo sena ble,code-mix,English-Kokborok
equal khai no nai di no one is bigger no one is smaller,code-mix,English-Kokborok
beni mark bai ani mark same this time,code-mix,English-Kokborok
beni mathematics ni marks bai ani english marks same,code-mix,English-Kokborok
beni science group exams hamliya,code-mix,English-Kokborok
ani bo science group hamliya this time,code-mix,English-Kokborok
bini history marks bai ani geography ni marks same,code-mix,English-Kokborok
bini total bai ani total bo same,code-mix,English-Kokborok
chung same no division bo mang no,code-mix,English-Kokborok
how come norok ni marks all same,code-mix,English-Kokborok
jotono same how is it possible,code-mix,English-Kokborok
nini achai mo date bufuru khamo,code-mix,English-Kokborok
nini achai mo date o ang phai nai,code-mix,English-Kokborok
date simi sadi i will reach,code-mix,English-Kokborok
pa ani date moito kroi kha de,code-mix,English-Kokborok
really i cannot remember kisa saga di tai waisa,code-mix,English-Kokborok
chini village o meya kisa thief manjak kha pho,code-mix,English-Kokborok
bini yak o knife tong pho very danger,code-mix,English-Kokborok
guard makhai nai ble from next week,code-mix,English-Kokborok
village bo secure jaga ong liya tabuk,code-mix,English-Kokborok
every conner o mathong lai nai,code-mix,English-Kokborok
atleast group o five jona le nang o,code-mix,English-Kokborok
kisa test khai woi naina muchung kha,code-mix,English-Kokborok
next week le chini group ni pala,code-mix,English-Kokborok
this time le ang sponsors khai nai do,code-mix,English-Kokborok
next time le ang seya,code-mix,English-Kokborok
next time ang lanai,code-mix,English-Kokborok
jotono ni pala ong nai do remember no excuse,code-mix,English-Kokborok
two two kheya group o tong lainai,code-mix,English-Kokborok
thai kisa khe mangjak kha mo yesterday,code-mix,English-Kokborok
just ani gana toi se laiwoi thang o,code-mix,English-Kokborok
ang kisa side o tong khe manjak kha mo,code-mix,English-Kokborok
pa litter more kisa sa,code-mix,English-Kokborok
very lucky beni kupal kaham,code-mix,English-Kokborok
next time le bono nainai,code-mix,English-Kokborok
chance mankhe bono phukya tai,code-mix,English-Kokborok
belai no courage ong khe bo tabuk day by day,code-mix,English-Kokborok
with this three time phai kha,code-mix,English-Kokborok
tabuk phono se regular phaiwoi tong kho,code-mix,English-Kokborok
day by day bini courage strong ong woi tong o,code-mix,English-Kokborok
waisa le manjak nai that time i will not leave him,code-mix,English-Kokborok
ani schooty bai mobile khowoi tlang thang kha bo,code-mix,English-Kokborok
belai no lost ong kha ani,code-mix,English-Kokborok
bini time table se set khai jak bo,code-mix,English-Kokborok
spy khai woi tong o bo,code-mix,English-Kokborok
he is well know to this village bo kaham khe sawoi mang no boro tamo tong,code-mix,English-Kokborok
very clever fox busuk clever ang bo nainai,code-mix,English-Kokborok
chini group rok kisa serious tong phai di do he may come today,code-mix,English-Kokborok
tini ni manu tamo tamo tong sa,code-mix,English-Kokborok
pa tini manu le belai kha kaham no,code-mix,English-Kokborok
pa tini le kaham khe macha senai full kheya,code-mix,English-Kokborok
tini evening ni  dinner khai liya tai,code-mix,English-Kokborok
direct evening o se chasenai,code-mix,English-Kokborok
abo thief  ba chini borok se ble,code-mix,English-Kokborok
kaboya abo chini relative no khlai o,code-mix,English-Kokborok
nung bono respect rede he is senior than you,code-mix,English-Kokborok
senior no respect rena nang o as a junior,code-mix,English-Kokborok
senior hingma ni senior no,code-mix,English-Kokborok
tini bus bai thang khe ragging khai jak nai sure,code-mix,English-Kokborok
jotono no senior bus o,code-mix,English-Kokborok
chini bus o senior rok kumno tong o,code-mix,English-Kokborok
junior rok khe seat o machukya,code-mix,English-Kokborok
junior rok everyday stand khai wi se mathang o,code-mix,English-Kokborok
ragging khai mani one way it is good,code-mix,English-Kokborok
ragging khaiya khe respect bo mangya,code-mix,English-Kokborok
junior rok respect kahi na rungya,code-mix,English-Kokborok
junior rok no ragging se makhai nai tini,code-mix,English-Kokborok
junior hai tong ya borok we have to teach them lesion,code-mix,English-Kokborok
senior no manner rewoi kok sadi,code-mix,English-Kokborok
senior ni jotono branch ni bumung learn khaiwi phaidi,code-mix,English-Kokborok
i will ask you next week bujikha,code-mix,English-Kokborok
every day se ragging ang college se thangna muchungliya,code-mix,English-Kokborok
nini shirt no clean khaiwi tong di,code-mix,English-Kokborok
nini shoes nobo clean khaiwi tong di,code-mix,English-Kokborok
nini hair bo neat and clean khaiwi tongdi,code-mix,English-Kokborok
nini hair style no ang naimang liya,code-mix,English-Kokborok
belai no styles ongkha nung be careful,code-mix,English-Kokborok
styles chung nai mangya do,code-mix,English-Kokborok
limit o style khai di you came to study here,code-mix,English-Kokborok
second year rok khe style khaimang no,code-mix,English-Kokborok
tabuk le style khai mangya kho,code-mix,English-Kokborok
canteen o bo chung mathang yak ho,code-mix,English-Kokborok
canteen o tamo tamo tong,code-mix,English-Kokborok
ani kisa senior senijak tong o,code-mix,English-Kokborok
ani senior senijak no ang sanai do,code-mix,English-Kokborok
next time tai waisa khaiphe kha i will surely complain,code-mix,English-Kokborok
tamo problem tong ani style bai,code-mix,English-Kokborok
tamo problem ongjak nung ani style bai,code-mix,English-Kokborok
tamo ni ani style no nung chajakya ongkha,code-mix,English-Kokborok
ani style nono kuno de khai,code-mix,English-Kokborok
this is my wish ang tamo khai that is not your matter,code-mix,English-Kokborok
nini friend rok bahai khe tong naidi,code-mix,English-Kokborok
nini tongmung hamya you are extra ordinary,code-mix,English-Kokborok
nung bo year o tabuk,code-mix,English-Kokborok
ang second year o sekho tabuk,code-mix,English-Kokborok
ani brother kha final year ong kha tabuk,code-mix,English-Kokborok
ani munai khe first year o,code-mix,English-Kokborok
chung jotono college o tabuk,code-mix,English-Kokborok
chini next month ni semi semester exam start ongnai,code-mix,English-Kokborok
junior rok busuk admission nakha this year o,code-mix,English-Kokborok
i think 160 rok ongna this time,code-mix,English-Kokborok
total i think hundred rok ongna i hope,code-mix,English-Kokborok
first rule and regulation sawoi marinai borokno,code-mix,English-Kokborok
junior rokno time to time college phaidi hingwi masanai,code-mix,English-Kokborok
tini ragging ongnai pho do be carefull everyone,code-mix,English-Kokborok
senior rok sawo chung jotono college maphai nai,code-mix,English-Kokborok
tini khe nung le manjak senai be carefull,code-mix,English-Kokborok
nung le belaikhe de tongtok jak college o,code-mix,English-Kokborok
respect khai ya khe naidi,code-mix,English-Kokborok
any problem tong khe senior rokno informed khai di,code-mix,English-Kokborok
tamo no porajak nai seya khe ask the senior,code-mix,English-Kokborok
ani senior sister no se proposed makhai sewo,code-mix,English-Kokborok
chini bus o taphai di very very danger,code-mix,English-Kokborok
bus diver tini senior bai bujak o,code-mix,English-Kokborok
bus driver hospital o admit khai jak kha pho,code-mix,English-Kokborok
bus driver behave khai mani senior rok chajak liya,code-mix,English-Kokborok
senior rok kebono se yakarya,code-mix,English-Kokborok
nung bo kaham khe tong khase otherwise see,code-mix,English-Kokborok
nini style no kisa limit o tong sedi,code-mix,English-Kokborok
style rokbo kisa limit ong khe se chawo,code-mix,English-Kokborok
general meeting ongnai tini college o,code-mix,English-Kokborok
general meeting ongkhe kabo yokya,code-mix,English-Kokborok
sabo sabo drink khai saphai di,code-mix,English-Kokborok
college ni chaptain sabo,code-mix,English-Kokborok
total busuk bus tong norok ni college o,code-mix,English-Kokborok
football challenge tongo final year bai,code-mix,English-Kokborok
senior ba borok phaikha ta,code-mix,English-Kokborok
chini le goalkeeper sa kaham ongliya,code-mix,English-Kokborok
stricker bo chance mangkha score sa khaimaiya,code-mix,English-Kokborok
ang bo chance miss khai kha two times,code-mix,English-Kokborok
first ni ball belai no easy tongmani,code-mix,English-Kokborok
pass khai khe sa goal ongkha mung,code-mix,English-Kokborok
chini passing bo khailiya,code-mix,English-Kokborok
passing khaiwoi thongkhe chung final year no easy khe phai o,code-mix,English-Kokborok
chini defence belai no kaham khe tong kha,code-mix,English-Kokborok
next time tai waisa thung phe nai final year bai,code-mix,English-Kokborok
next time le pass khai woi thunglai nai,code-mix,English-Kokborok
practice kisa makhailai nai so that we can understand each others,code-mix,English-Kokborok
boro le set ongjak ble that why they could win,code-mix,English-Kokborok
activities rok tong khe understand tonglai o,code-mix,English-Kokborok
omo hai getharing khailai khe understand phai wo,code-mix,English-Kokborok
football thungjak ya sa two years kawoi tong kha,code-mix,English-Kokborok
chini body rok sa helewoi tongpai kha,code-mix,English-Kokborok
sorry brother exam ni bagui khaimang liya,code-mix,English-Kokborok
sorry brother moito sa mangliya,code-mix,English-Kokborok
sorry brother kisa pho sa moito mangliya,code-mix,English-Kokborok
sorry brother ang phai mangliya,code-mix,English-Kokborok
sorry brother nini task ang mangliya,code-mix,English-Kokborok
time belai kheno short sorry brother,code-mix,English-Kokborok
khaina hing tongmani sa moito mangliya brother really sorry,code-mix,English-Kokborok
moito kisa phono sa mangliya really sorry next time,code-mix,English-Kokborok
next time khaisenai brother this time ong glak kha,code-mix,English-Kokborok
nini thani ang kisa help nangwoi tong wo,code-mix,English-Kokborok
tamo hingba nini kisa idea kaham,code-mix,English-Kokborok
style matter khai ya studies sa matter khai wo,code-mix,English-Kokborok
style bai studies tamo relation tong,code-mix,English-Kokborok
ang kaham khe study khai khe ong na ble,code-mix,English-Kokborok
ang pass khai woi phunuk khe ong na ble,code-mix,English-Kokborok
first division nawoi phunuk nai nono,code-mix,English-Kokborok
style khai phono studies o tong kha ong wo,code-mix,English-Kokborok
bono suspend khai jak kha bo,code-mix,English-Kokborok
unnecessary suspend khai jak kha bo,code-mix,English-Kokborok
unnecessary issues no tewoi bono suspend khai jak kha,code-mix,English-Kokborok
borok bini issue sinuamwi bono suspend khai wo,code-mix,English-Kokborok
suspend khai nabo kisa issue nang wo,code-mix,English-Kokborok
bo tamo khai kha bono suspend khai rekha,code-mix,English-Kokborok
be tamo false bono suspend khai rekha,code-mix,English-Kokborok
office wo kisa celebration khaima bai sa bono suspend khaiwi rekha,code-mix,English-Kokborok
tini bini issues no tewoi kisa discuss khailai nai,code-mix,English-Kokborok
tamo ni tewoi le bono suspend khaiwi rekha,code-mix,English-Kokborok
this is not the way suspend khaiwi renani,code-mix,English-Kokborok
i think bini false ya na it was instructed,code-mix,English-Kokborok
glass tikhwlai jagliya three days,code-mix,English-Kokborok
employee no haino suspend khaiwi mangya,code-mix,English-Kokborok
what is the matters kisa details sekha chawo,code-mix,English-Kokborok
kisa false mangkhe no tai yokliya,code-mix,English-Kokborok
borok false boro mangnai abo se naitokwi tong wo,code-mix,English-Kokborok
chini tini ni speakers turn up khai mangliya pho,code-mix,English-Kokborok
busuk days ni suspend khai jak kha bo,code-mix,English-Kokborok
until farther order phaiya sak,code-mix,English-Kokborok
may be borok ni thinking kisa juda,code-mix,English-Kokborok
chini chungmung bai boro ni thinking totally different,code-mix,English-Kokborok
i am not happy nini tongmung bai,code-mix,English-Kokborok
ano gari paimani chariya wngmani very good,code-mix,English-Kokborok
nwng sa chaphaiya bla very clever,code-mix,English-Kokborok
accident ongwi da hai ke sakhana i hope,code-mix,English-Kokborok
chaluk na rwng ya thutai ri kha nata i hope i am right,code-mix,English-Kokborok
sorry sir mind ta nasidi,code-mix,English-Kokborok
sir rok bai kok sana khe kisa nervious ongo,code-mix,English-Kokborok
kisa sleep of tongue ong kha do sir,code-mix,English-Kokborok
meeting date tai venue la bophoro,code-mix,English-Kokborok
ehi meeting ni din no thanglaiganw tah,code-mix,English-Kokborok
orange bagan thanglaigw meeting ni ulo,code-mix,English-Kokborok
hingke dara khuna ni meeting cancelled da,code-mix,English-Kokborok
ang phaimang gwlak mam i am in village still,code-mix,English-Kokborok
its ok next time miss ta ongdi do,code-mix,English-Kokborok
joto failaidi do no one should missed the tuition,code-mix,English-Kokborok
most probibily next week ni besing wono presentation ongnai,code-mix,English-Kokborok
boroni seminar tong o next week,code-mix,English-Kokborok
ang le tai khai mangliya thia types of works,code-mix,English-Kokborok
ang nok no kisa christmas ni sekang maphai renai by any how,code-mix,English-Kokborok
kisa rang shortage ni bagwi khai mangliya,code-mix,English-Kokborok
i am thinking that chung kisa malai khe chanai,code-mix,English-Kokborok
football thungwoi dugu mang jak kha,code-mix,English-Kokborok
final wo chung pailiya,code-mix,English-Kokborok
ani cherai belai ni smart and talented,code-mix,English-Kokborok
joto porayna nang ya study what i have given only,code-mix,English-Kokborok
what do you suggest tamo khai khe chano,code-mix,English-Kokborok
program setting chaya kho,code-mix,English-Kokborok
please tai waisa kisa kaham khe check khai gadi,code-mix,English-Kokborok
please misunderstanding ta ongdi,code-mix,English-Kokborok
misunderstanding phai khe chaya ongnai,code-mix,English-Kokborok
understanding khai woi kisa samung khai laikha chanai,code-mix,English-Kokborok
nini jaga wo ang ongkhe i will not leave him,code-mix,English-Kokborok
i will not leave him tai waisa ong gatho,code-mix,English-Kokborok
tai waisa ong khe i will see him,code-mix,English-Kokborok
bo sawoi sa mangya kho what i can do,code-mix,English-Kokborok
i am out tai ang thangliya,code-mix,English-Kokborok
ang team wo sa kroi,code-mix,English-Kokborok
tini indoor games tong wo do,code-mix,English-Kokborok
indoor games tamo tamo nung thung mang,code-mix,English-Kokborok
ang indoor games thongna rungya,code-mix,English-Kokborok
ang indoor games interest ongjak ya,code-mix,English-Kokborok
ang indoor games thung na muchung ya,code-mix,English-Kokborok
indoor games belai no bouring,code-mix,English-Kokborok
indoor games bo interest tong wo,code-mix,English-Kokborok
kisa phono interest nangjak ya ang indoor games rok,code-mix,English-Kokborok
ang football say kisa interest nangjak wo,code-mix,English-Kokborok
football thungwoi hurt ongkha ang,code-mix,English-Kokborok
this time le gansay composed khai mangya kho,code-mix,English-Kokborok
atleast one song le composed makhai nai,code-mix,English-Kokborok
chini next week wo recording do,code-mix,English-Kokborok
sobo sobo thang nai recording khai nani,code-mix,English-Kokborok
atleast five persons nang nai recording khai nani,code-mix,English-Kokborok
mistake ongphono kunu ong ya we can do it again,code-mix,English-Kokborok
mistake ongkhe correction khai mang no,code-mix,English-Kokborok
abo adjust khai mano no problem,code-mix,English-Kokborok
bono adjust khainai no need to worry,code-mix,English-Kokborok
ang bono sanai no problem he will understand,code-mix,English-Kokborok
music bo bono renai i will instruct him,code-mix,English-Kokborok
bahai renai ang no bono instruct khainai,code-mix,English-Kokborok
music ni style bo angno renai,code-mix,English-Kokborok
bo kunu problem khaiya,code-mix,English-Kokborok
time belai no nangnai he knows,code-mix,English-Kokborok
jotono mai chawoi phaidi we will be late,code-mix,English-Kokborok
coming and going sobo fare renai,code-mix,English-Kokborok
going ni i think bono renai na,code-mix,English-Kokborok
kisa confirm khaidi later we may not face any problem,code-mix,English-Kokborok
confirm khaikha bono renai for going there,code-mix,English-Kokborok
ok hingkhe there is no problem jotono ready,code-mix,English-Kokborok
planning kaham no ongkha,code-mix,English-Kokborok
well plan jotono no hambai for the full support,code-mix,English-Kokborok
jotono borokni part khai kha,code-mix,English-Kokborok
really amazing chung kaham khe khaiwi mangkha,code-mix,English-Kokborok
chung time wo no start khaina nangnai,code-mix,English-Kokborok
omo hai picture rok post khulaiya tongkhe chagano,code-mix,English-Kokborok
phekjak nai tablet agulini paiwi ready khe tong di,code-mix,English-Kokborok
phekya jak tablet ready khai woi tong di,code-mix,English-Kokborok
tablet phekya jak paiwi tong di,code-mix,English-Kokborok
pheknai jak tablet paiwi tong di,code-mix,English-Kokborok
saboni pharmarcy sinijak tong sabai gradi,code-mix,English-Kokborok
ani palni pharmarcy shop tongo,code-mix,English-Kokborok
medicine ni dukan sa marisenai,code-mix,English-Kokborok
agartala ni order marwsinai ta hing khe,code-mix,English-Kokborok
attend khwlaidi nini kami gandar sib le,code-mix,English-Kokborok
hingkhe chwngno 24th wo advance charodi,code-mix,English-Kokborok
tabuk la ani new journey start ongsinai,code-mix,English-Kokborok
tabuk le family tongo think makhainai,code-mix,English-Kokborok
ani family sa first priority tabuk,code-mix,English-Kokborok
family khai khe responsibility belai no tongo,code-mix,English-Kokborok
jotono family ni bagui no chung maikhai wo,code-mix,English-Kokborok
tabuk ang single tai ongliya i have a family,code-mix,English-Kokborok
single tongmani bai family tongmani belai no different tongo,code-mix,English-Kokborok
single tongfru there is no tension,code-mix,English-Kokborok
family khaipai khe tension belai tongo,code-mix,English-Kokborok
tension mang kha wo what is the problem,code-mix,English-Kokborok
belai tension namani bo chaya,code-mix,English-Kokborok
belai tension khai khe taini no tension ongo,code-mix,English-Kokborok
tension tanadi relax khe tong di,code-mix,English-Kokborok
jotoni no tension tong wo,code-mix,English-Kokborok
marketing tai bo khaina nang kho,code-mix,English-Kokborok
marketing sa khaiya kho tabuk phono,code-mix,English-Kokborok
marketing khaina bo rang nangble,code-mix,English-Kokborok
marketing haino khai mangya we need money for that,code-mix,English-Kokborok
marketing khai chana bo belai no tough tabuk,code-mix,English-Kokborok
week wo atleast three days le marketing makhai wo,code-mix,English-Kokborok
tamo no chanai tamo no chaya blenai no confused,code-mix,English-Kokborok
tamo no bo painai tamo no bo paiya jotono confused,code-mix,English-Kokborok
vegetables bo jotono abono abo,code-mix,English-Kokborok
kutal vegetables sa nukya,code-mix,English-Kokborok
same same chana nibo selakha,code-mix,English-Kokborok
marketing khai khe boa bono same vegetables,code-mix,English-Kokborok
same to same cherai no charimaiya,code-mix,English-Kokborok
ani cherai bo tast sawoi mangkha,code-mix,English-Kokborok
